;age;people_in_flat;livingscience_duration;switzerland_duration;recycling_familiarity;campus_familiarity;Trash;Paper;Cardboard;Glass;Aluminium;PET;Organic;Fabric;electronics_and_batteries
1;18;6;2;8;10;10;yes;recycle;recycle;recycle;recycle;recycle;uninformed_about_location;recycle;I don't know
2;18;2;8;8;7;9;yes;recycle;recycle;recycle;recycle;recycle;uninformed_about_location;recycle;Electronics in trash, batteries recycle
3;19;2;3;100;10;10;yes;recycle;recycle;recycle;recycle;recycle;inconvenient;recycle;Give to dad
4;27;2;18;18;5;6;yes;recycle;recycle;recycle;recycle;inconvenient;inconvenient;No waste;I don't know
5;19;1;6;18;5;4;yes;uninformed_in_general;recycle;uninformed_in_general;inconvenient;recycle;uninformed_about_location;uninformed_in_general;I bring them to special electronics and battery disposal stations
6;22;2;1;100;9;7;yes;recycle;recycle;recycle;recycle;recycle;inconvenient;inconvenient;I bring them to special electronics and battery disposal stations
7;NA;NA;NA;NA;NA;NA;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8;21;6;24;100;10;9;yes;recycle;recycle;recycle;recycle;recycle;recycle;Never used it;I keep them
9;22;6;24;100;10;10;yes;recycle;recycle;recycle;recycle;recycle;recycle;recycle;I bring them to special electronics and battery disposal stations
10;24;2;36;100;8;8;yes;recycle;recycle;recycle;recycle;recycle;recycle;recycle;I bring them to special electronics and battery disposal stations
11;24;2;12;100;9;10;yes;recycle;recycle;recycle;recycle;recycle;recycle;recycle;I bring them to special electronics and battery disposal stations
12;20;6;48;48;6;8;yes;no_waste;no_waste;recycle;recycle;recycle;uninformed_in_general;In germany;I keep them
13;21;6;36;36;7;8;yes;recycle;recycle;recycle;recycle;recycle;inconvenient;Wear clothes with holes;I don't know
14;22;6;24;24;8;8;yes;recycle;uninformed_about_location;recycle;recycle;recycle;inconvenient;uninformed_about_location;I bring them to special electronics and battery disposal stations
